check	status	evidence
codex_source_parity	pass	Canonical migrated local source set: 69 Codex SKILL.md files mapped in source_skills.tsv.
claude_package_count	pass	claude-skills/skills has 69 skill directories and 69 SKILL.md files.
local_claude_install_count	pass	/Users/jiangyu/.claude/skills has 69 skill directories and 69 SKILL.md files.
frontmatter_validation	pass	Custom validator checked package and local install: dirs=69, issues=0 for both.
claude_plugin_validate	pass	/Users/jiangyu/.hermes/node/bin/claude-real plugins validate claude-skills returned "Validation passed".
claude_model_route	pass	CPA-backed Xiaomi MiMo route with model mimo-v2.5-pro returned OK for a minimal claude -p call.
claude_agents_model	pass	12 local Wyatt Claude agents and 13 package agent/routing files use model: mimo-v2.5-pro.
hermes_workflow_validation	pass	PYTHONPYCACHEPREFIX=/private/tmp/hermes_pycache python3 validate_wyatt_workflow.py returned ok=true.
hermes_workflow_tests	pass	python3 test_wyatt_workflow.py -v ran 5 tests: OK.
sidecar_scan	pass	No ._* AppleDouble, .DS_Store, or __MACOSX entries under claude-skills.
large_file_scan	pass	No files larger than 5 MiB under claude-skills.
strict_secret_scan	pass	Strict sk-/api-key/secret/token assignment scan returned no matches under claude-skills.
lark_cli_path	missing	command -v lark-cli returned no path in the current shell.
word_renderer_path	missing	command -v pandoc and command -v soffice/libreoffice returned no usable renderer in the current shell.
