skill	files	size_bytes	skill_md_lines	description
aihubmix-image-gen	2	6464	30	Use when UI Designer needs to generate a product UI draft image from a product spec, design tokens, or layout prompt via the configured AIHubMix image model.
backend-blueprint	2	4176	20	Use when product-builder needs API, DB, auth, error model, caching, deployment, and backend task breakdown before implementation.
case-archiver	4	15323	22	Use only when Wyatt explicitly asks to archive a completed project, task, or local folder into reusable T7 case notes for future Claude Code workflows.
case-router	2	4950	23	Use at the start of a non-trivial Wyatt task when relevant historical cases, prior project outcomes, or explicit [[case-...]] references may change scope, implementation, or verification.
dataset-profiler	2	8034	24	Use to generate safe aggregate-only profiles for CSV, JSONL, text, or image datasets without exporting company raw samples.
dual-review	2	4421	25	Use before merging, shipping, or handing off code when an independent Claude Code review packet or optional second reviewer pass is needed.
hikvision-codec-stage1	4	7059	86	Use when Wyatt mentions Hikvision, 海康威视, research institute onboarding, intelligent algorithm department, C video encode/decode, codec latency, streaming response, FFmpeg, H264/H265, RTSP, or stage-one work reports.
hk-intership	1	2025	28	Use when Wyatt mentions HK, HK_intership, internship literature survey, reranker papers, Megatron full fine-tuning research, or asks whether the HK literature-review workflow was used.
paper-digest	5	10379	21	Use when Wyatt asks for a daily research idea, paper watchlist digest, reranker/multimodal model reading routine, or one-paper-to-experiment summary.
prompt-rewriter	3	4611	17	Use at project close or after a major correction to rewrite the final prompt that would have solved the task cleanly from the start.
server-observation-loop	5	4343	20	Use when Claude Code cannot directly access a server, training job, private dataset, or intranet system and Wyatt must run commands manually then return sanitized logs, screenshots, metrics, or summaries.
ship-package	2	5535	20	Use before local release or handoff to prepare reproducible Docker/release/GitHub packages with secret checks, rollback notes, and verification evidence.
ui-trends-watcher	3	8048	26	Use when Wyatt asks to extract reusable UI direction, design tokens, app/dashboard patterns, or implementation checklists from local products, screenshots, or approved UI examples.
weixin-daily-push	2	3317	19	Use when Wyatt asks Claude Code to prepare a safe Weixin/WeCom-ready daily research idea or workflow notification without sending it or exposing token-bearing gateway state.
wyatt-product-team	14	16743	41	Use when Wyatt asks for product-manager, technical-team, architecture, UI, frontend, backend, QA, reviewer, release, research, paper-reading, memory-archiving, or multi-role product workflow help in Claude Code.
